time,富氧率,透气性指数,CO,H2,CO2,标准风速,富氧流量,冷风流量,鼓风动能,炉腹煤气量,炉腹煤气指数,理论燃烧温度,顶压,顶压2,顶压3,顶压4,富氧压力,冷风压力,冷风压力2,全压差,热风压力,热风压力2,实际风速,冷风温度,热风温度,顶温东北,顶温西南,顶温西北,顶温东南,顶温下降管,阻力系数,鼓风湿度,设定喷煤量,本小时实际喷煤量,上小时实际喷煤量,last,label
2020/5/1 0:20,4.14512,18.143,25.73,0.78,21.33,273,18491,32.147,152,7813,79.31,2227,225,225,225,225,1.53,0.4184,0.418,177.6,0.4026,0.402,277,217.6,1146.4,125.9,137,121.2,136.3,107.9,2.687,17.497,48.5,13.23,48.24,0.391,0.589
2020/5/1 0:49,4.00169,17.922,25.4,1.92,21.03,271,17705,32.061,152,7746,78.62,2254,225.1,225.1,225.1,225.1,1.567,0.4326,0.4322,178.6,0.4037,0.4031,277,218.4,1195.4,141.5,132.8,127.1,142.5,112.6,2.748,17.592,48.5,37.54,48.24,0.589,0.376
2020/5/1 1:05,4.28337,18.401,25.37,1.88,21.23,274,19190,32.26,150,7856,79.74,2239,225.1,225.1,225.1,225.1,1.609,0.4263,0.4258,175.5,0.4006,0.4,274,219.2,1149.2,139.6,140.1,123.7,143.6,113.5,2.623,17.74,48.5,1.29,48.63,0.376,0.36
2020/5/1 2:00,4.27623,17.797,25.3,1.76,21.46,273,19087,32.173,157,7828,79.45,2268,226,226,226,226,1.589,0.424,0.4235,180.8,0.4068,0.4062,281,218,1187,158.4,167.8,148.9,165.3,121.6,2.749,17.731,48.5,46.2,48.63,0.36,0.519
2020/5/1 2:24,4.21796,16.882,25.89,1.49,21.43,269,18541,31.735,131,7712,78.27,2213,225.7,225.7,225.7,225.7,1.515,0.4409,0.4405,187.8,0.4135,0.4128,259,217.6,1134.5,160.4,152.9,132.7,153.5,114.9,2.96,17.651,48.5,16.58,48.6,0.519,0.436
2020/5/1 2:48,4.41172,17.178,25.73,1.56,21.17,271,19633,31.999,152,7816,79.33,2291,225.6,225.6,225.5,225.5,1.557,0.4368,0.4364,186.3,0.4119,0.4112,277,219,1207,154.3,146.5,139.2,145.9,120.1,2.862,17.926,48.5,35.61,48.6,0.436,0.488
2020/5/1 3:25,4.18189,17.423,25.73,1.64,21.3,274,18747,32.375,163,7856,79.74,2290,225.5,225.5,225.5,225.5,1.433,0.4297,0.4292,185.7,0.4112,0.4105,286,217.5,1219.1,174.8,136.4,143.2,159.4,115.5,2.824,17.857,48.5,17.24,48.22,0.488,0.622
2020/5/1 3:58,4.10707,17.846,25.3,1.42,21.53,273,18321,32.137,162,7816,79.33,2273,227.4,227.4,227.4,227.4,1.356,0.4246,0.4241,180.6,0.408,0.4073,286,217.3,1208.8,138.8,130.5,124.1,125.7,111.4,2.765,17.962,48.5,44.28,48.22,0.622,0.584
2020/5/1 4:02,4.15783,18.019,25.57,1.28,21.5,274,18640,32.299,163,7855,79.73,2268,225.5,225.5,225.4,225.4,1.334,0.4217,0.4213,179.5,0.405,0.4043,286,217.1,1194.9,141.8,137.4,136,132.5,115.6,2.705,17.913,48.5,47.65,48.22,0.584,0.571
2020/5/1 4:20,4.0941,18.331,25.7,1.6,21.4,273,18272,32.258,148,7821,79.38,2200,226.5,226.5,226.4,226.4,1.407,0.4183,0.4178,175.8,0.4023,0.4016,273,216.5,1123.8,132.5,133.5,124.4,129.1,110.8,2.662,18.157,48.5,13.91,48.47,0.571,0.569
